,exp_path,batch_size,bn,cpu,device,dropout,dropout_rate,epochs,exp_no,gamma,kfold,loss_fn,lr,model,note,optim,scheduler,step_size,0.0 f1-score,0.0 precision,0.0 recall,0.0 support,1.0 f1-score,1.0 precision,1.0 recall,1.0 support,accuracy,macro avg f1-score,macro avg precision,macro avg recall,macro avg support,weighted avg f1-score,weighted avg precision,weighted avg recall,weighted avg support,conv_blocks,filters,hidden_layers,hidden_units,kernel_size
217,..\experiments\1193,256,FALSE,FALSE,0,FALSE,0.5,128,1193,0.1,5,bce,0.0001,conv1d_embed,,adam,FALSE,32,0.963679634,0.95997453,0.967673681,413.8,0.917477801,0.927328128,0.90912533,186.2,0.949666667,0.940578718,0.943651329,0.938399505,600,0.94952253,0.950035235,0.949666667,600,2,256,4,256,5
1796,..\experiments\422,256,FALSE,FALSE,0,FALSE,0.5,128,422,0.1,5,bce,0.0001,conv1d_embed,,adam,FALSE,32,0.964457605,0.952155553,0.978650707,413.8,0.917569555,0.950192906,0.894127525,186.2,0.950333333,0.94101358,0.951174229,0.936389116,600,0.949487938,0.953063558,0.950333333,600,1,32,2,16,1
1198,..\experiments\2076,256,TRUE,FALSE,0,FALSE,0.5,256,2076,0.1,5,bce,0.0001,conv1d_embed,,adam,FALSE,32,0.962583641,0.976603739,0.949096441,413.8,0.919657824,0.892239847,0.949539515,186.2,0.949,0.941120733,0.934421793,0.949317978,600,0.949476215,0.951057444,0.949,600,1,128,2,64,2
195,..\experiments\1173,256,FALSE,FALSE,0,FALSE,0.5,128,1173,0.1,5,bce,0.0001,conv1d_embed,,adam,FALSE,32,0.963736604,0.958038399,0.969772934,413.8,0.91733853,0.930336749,0.905986155,186.2,0.949666667,0.940537567,0.944187574,0.937879545,600,0.949474301,0.950024624,0.949666667,600,3,64,4,128,5
843,..\experiments\1757,256,TRUE,FALSE,0,TRUE,0.5,128,1757,0.1,5,bce,0.0001,conv1d_embed,,adam,FALSE,32,0.962703406,0.975358591,0.950676171,413.8,0.919137009,0.894998381,0.946123259,186.2,0.949,0.940920207,0.935178486,0.948399715,600,0.949454333,0.951181209,0.949,600,1,128,2,128,4
1455,..\experiments\2307,256,FALSE,FALSE,0,FALSE,0.5,64,2307,0.1,5,bce,0.001,conv1d_embed,,adam,FALSE,32,0.964991372,0.940921123,0.990402028,413.8,0.913939671,0.97541711,0.86025194,186.2,0.950333333,0.939465522,0.958169117,0.925326984,600,0.949377419,0.951730778,0.950333333,600,1,128,2,64,2
1169,..\experiments\205,256,FALSE,FALSE,0,FALSE,0.5,128,205,0.1,5,bce,0.001,conv1d_embed,,adam,FALSE,32,0.964403513,0.953172701,0.976706716,413.8,0.915084871,0.948019006,0.888984385,186.2,0.95,0.939744192,0.950595854,0.932845551,600,0.949313696,0.951466861,0.95,600,1,16,2,16,1
382,..\experiments\1341,256,FALSE,FALSE,0,FALSE,0.5,128,1341,0.1,5,bce,1.00E-05,conv1d_embed,,adam,FALSE,32,0.963421924,0.962058504,0.964898153,413.8,0.917200585,0.920485116,0.91448571,186.2,0.949333333,0.940311255,0.94127181,0.939691932,600,0.949296277,0.949512404,0.949333333,600,1,64,2,256,3
2124,..\experiments\718,256,FALSE,FALSE,0,FALSE,0.5,128,718,0.1,5,bce,0.001,conv1d_embed,,adam,FALSE,32,0.964566675,0.952448475,0.977717719,413.8,0.914278769,0.949240828,0.885785646,186.2,0.95,0.939422722,0.950844651,0.931751683,600,0.949280195,0.951255243,0.95,600,1,128,3,64,1
651,..\experiments\1584,256,FALSE,FALSE,0,FALSE,0.5,128,1584,0.1,5,bce,1.00E-05,conv1d_embed,,adam,FALSE,32,0.963224511,0.964160702,0.963311071,413.8,0.91850779,0.918520413,0.922996004,186.2,0.949333333,0.940866151,0.941340557,0.943153538,600,0.949264793,0.951390603,0.949333333,600,1,64,5,256,3
659,..\experiments\1591,256,FALSE,FALSE,0,FALSE,0.5,128,1591,0.1,5,bce,1.00E-05,conv1d_embed,,adam,FALSE,32,0.963453575,0.959760658,0.967249387,413.8,0.916947681,0.925179301,0.909242454,186.2,0.949333333,0.940200628,0.942469979,0.938245921,600,0.949219467,0.949338168,0.949333333,600,2,128,5,256,1
1304,..\experiments\2171,256,FALSE,FALSE,0,FALSE,0.8,256,2171,0.1,5,bce,0.0001,conv1d_embed,,adam,FALSE,32,0.96155202,0.989839889,0.935099424,413.8,0.920973209,0.87087884,0.978493267,186.2,0.948333333,0.941262614,0.930359365,0.956796345,600,0.949184653,0.953554475,0.948333333,600,1,128,2,128,4
889,..\experiments\1799,256,TRUE,FALSE,0,FALSE,0.5,128,1799,0.1,5,bce,0.0001,conv1d_embed,,adam,FALSE,32,0.962883926,0.969977224,0.956944256,413.8,0.91803052,0.908908765,0.932469023,186.2,0.949,0.940457223,0.939442994,0.944706639,600,0.949180465,0.951782714,0.949,600,1,128,3,128,4
2311,..\experiments\887,256,FALSE,FALSE,0,FALSE,0.5,128,887,0.1,5,bce,0.001,conv1d_embed,,adam,FALSE,32,0.962932468,0.967581725,0.958819038,413.8,0.917952928,0.910028077,0.92848283,186.2,0.949,0.940442698,0.938804901,0.943650934,600,0.949163073,0.950488471,0.949,600,1,256,5,64,5
